Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/projects/gcp-llm-serving-benchmarks/locations/global/publishers/google/models/gemini-2.5-flash-lite-preview-06-17:generateContent,156894,153610,210.0,275.7770448404101,102.16495599888731,3885.674631994334,446.3434356954377,524.6037623529242,513.6231081815281,210,240,260,280,370,670,1000,1800,3400,3700,3900
,Aggregated,156894,153610,210.0,275.7770448404101,102.16495599888731,3885.674631994334,446.3434356954377,524.6037623529242,513.6231081815281,210,240,260,280,370,670,1000,1800,3400,3700,3900
