Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/projects/gcp-llm-serving-benchmarks/locations/us-central1/endpoints/2990351669667037184:predict,1213,311,28000.0,29287.71530355959,2225.5002750025596,60491.58465000801,831.3173948887057,4.049888714504367,1.0383473950625375,28000,46000,60000,60000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,1213,311,28000.0,29287.71530355959,2225.5002750025596,60491.58465000801,831.3173948887057,4.049888714504367,1.0383473950625375,28000,46000,60000,60000,60000,60000,60000,60000,60000,60000,60000
