Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/projects/gcp-llm-serving-benchmarks/locations/global/publishers/google/models/gemini-2.5-flash-lite-preview-06-17:generateContent,163993,160879,190.0,264.9838055982933,102.71484601253178,4958.318723001867,479.8800802473276,546.9847406177655,536.5982577661576,190,220,240,260,320,620,1100,2100,3500,4000,5000
,Aggregated,163993,160879,190.0,264.9838055982933,102.71484601253178,4958.318723001867,479.8800802473276,546.9847406177655,536.5982577661576,190,220,240,260,320,620,1100,2100,3500,4000,5000
