Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/projects/gcp-llm-serving-benchmarks/locations/global/publishers/google/models/gemini-2.5-flash:generateContent,139640,137688,200.0,311.45034128772824,104.10248400876299,10104.550656003994,378.3089730736179,465.5705229565773,459.06240450333155,200,230,250,260,320,610,1000,3400,8400,9200,10000
,Aggregated,139640,137688,200.0,311.45034128772824,104.10248400876299,10104.550656003994,378.3089730736179,465.5705229565773,459.06240450333155,200,230,250,260,320,610,1000,3400,8400,9200,10000
