Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/projects/gcp-llm-serving-benchmarks/locations/global/publishers/google/models/gemini-2.5-flash:generateContent,112776,110780,190.0,2760.9204792701853,103.05912500189152,30858997.94451901,352.5998262041569,3.6241843889865835,3.5600406701065275,190,220,240,250,340,700,1100,2600,8700,10000,30859000
,Aggregated,112776,110780,190.0,2760.9204792701853,103.05912500189152,30858997.94451901,352.5998262041569,3.6241843889865835,3.5600406701065275,190,220,240,250,340,700,1100,2600,8700,10000,30859000
