Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate?key=secret,145810,145649,150.0,290.91037543106745,118.19262898643501,122661.09276600764,323.85586036623005,487.40538307825415,486.86720142627144,150,170,190,200,290,620,960,1200,21000,75000,123000
,Aggregated,145810,145649,150.0,290.91037543106745,118.19262898643501,122661.09276600764,323.85586036623005,487.40538307825415,486.86720142627144,150,170,190,200,290,620,960,1200,21000,75000,123000
